nama,alamat,lat,long
Bakso Setan - Pajajaran,"Bakso Setan - Pajajaran, Jalan Danau Toba, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.391535,105.266314
Pondok Hijau,Pangeran Antasari,-5.408031,105.273147
Pizza Hut,Pangeran Antasari,-5.40677,105.274862
Tian Tian Dimsum,Pangeran Antasari,-5.401134,105.270521
Warung Gamol,"Warung Gamol, Jalan Sisingamangaraja, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.400691,105.244397
Chiclin,Jalan Imam Bonjol,-5.399702,105.244511
RM Embun Pagi,Jalan Imam Bonjol,-5.403987,105.250964
Telur Gulung Abi,Jalan Imam Bonjol,-5.399403,105.243667
Iga Bakar Gerabah,Diponegoro,-5.432119,105.262061
Hanamaru Japanese,Diponegoro,-5.435481,105.263662
Moro Seneng,Diponegoro,-5.436268,105.263906
HO Chicken,Diponegoro,-5.432975,105.262495
RM Uduk Toha,Diponegoro,-5.432724,105.261844
Pempek JK,Diponegoro,-5.433102,105.26212
RM Lele Terbang,Diponegoro,-5.437087,105.265317
Mie Ayam Budi,Dokter Susilo,-5.429282,105.265911
RM Puti Minang,Diponegoro,-5.432986,105.261951
Roots Hotpot Grill,Diponegoro,-5.432112,105.2616
Sambel Rumah,Dokter Susilo,-5.429435,105.270725
Pempek Cek Sofi2,Dokter Susilo,-5.429423,105.268298
Marimo,"Marimo, Jalan Kyai Haji Ahmad Dahlan, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.427149,105.271743
Bakmi Wonton,Ahmad Dahlan,-5.429357,105.271629
RPP Ropang Plus Plus,Dokter Susilo,-5.42975,105.268198
The 99 Eatery Pempek,"The 99 Eatery Pempek, Jalan Gatot Soebroto, Garuntang, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.423268,105.272532
Pempek dan Mie Ayam Pahoman,"Pempek dan Mie Ayam Pahoman, Jalan Kyai Haji Ahmad Dahlan, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.429271,105.271688
Waroeng Steak dan Shake,"Waroeng Steak dan Shake, Jalan Jenderal Gatot Soebroto, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.422845,105.272125
GB Express,Perintis Kemerdekaan,-5.422117,105.272469
Pindang Pegagan Kei,"Pindang Pegagan Kei, Jalan Doktorandus Haji Muhammad Thabrani Daud, Kota Baru, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.422318,105.272293
Bubur Ayam 10jt,Perintis Kemerdekaan,-5.420784,105.271319
RM Ijo,Perintis Kemerdekaan,-5.421688,105.271651
Soto Kupat Ujang,Perintis Kemerdekaan,-5.419575,105.271317
Bakso Tuyul,"Bakso Tuyul, Jalan Doktorandus Haji Muhammad Thabrani Daud, Kota Baru, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.42186,105.272148
Angkringan Nara,"Angkringan Nara, Jalan Doktorandus Haji Muhammad Thabrani Daud, Kota Baru, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.425293,105.275423
Roto Bakar Kikim,"Roto Bakar Kikim, Jalan Gajah Mada, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.420807,105.269676
Ayam Bakar Pak Nduuts,"Ayam Bakar Pak Nduuts, Jalan Doktorandus Haji Muhammad Thabrani Daud, Kota Baru, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.424475,105.274583
Nasi Goreng Satelit,"Nasi Goreng Satelit, Jalan Way Muli, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.422189,105.269623
WR Rasan,"WR Rasan, Jalan Gajah Mada, Kota Baru, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.419555,105.269918
Soto Betawi,"Soto Betawi, Jalan Gajah Mada, Kota Baru, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.419534,105.269616
Kampung Seafood,"Kampung Seafood, Jalan Pangeran Antasari, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.40713,105.27512
Nasi Uduk Toha,"Nasi Uduk Toha, Jalan Pangeran Antasari, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.407431,105.274639
Sostangdokkebbi,"Sostangdokkebbi, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.403377,105.281469
Pempek Judes,"Pempek Judes, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.40615,105.27676
Es Teler 99,"Es Teler 99, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.403568,105.281208
Martabak Pecenongan,"Martabak Pecenongan, Jalan Pangeran Antasari, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.407424,105.273811
RM Sei Sapi Nyapi,"RM Sei Sapi Nyapi, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.401567,105.283535
Pecel Lele Pak Pon,"Pecel Lele Pak Pon, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.399203,105.287636
Rumah Kayu Resto,"Rumah Kayu Resto, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393292,105.281137
Sambal Pecak Bang Ucok,"Sambal Pecak Bang Ucok, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.39443,105.281601
Kuliner Jogya La Rose,"Kuliner Jogya La Rose, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.39464,105.281607
Mie Kolong Urip,"Mie Kolong Urip, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.391757,105.28077
Sate Bontet,"Sate Bontet, Jalan Teru, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.390511,105.281564
Rumah Bakso,"Rumah Bakso, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.392542,105.281221
RM Mbok Wito,"RM Mbok Wito, Jalan Akasia, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.386624,105.281485
Restoran Garuda,"Restoran Garuda, Jalan Cut Nyak Dhien, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.418866,105.252739
Mie Bandar Lampung,"Mie Bandar Lampung, Jalan Pangkal Pinang, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.411449,105.257548
Warunk Upnormal,Kartini,-5.419749,105.252955
Suko Restauran,"Suko Restauran, Jalan Pelanduk, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.393711,105.261676
Karimata Resto,"Karimata Resto, Gang Karya I, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.406412,105.258762
Uduk Toha,"Uduk Toha, Jalan Kartini, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.411855,105.256347
Sakim Putra,"Sakim Putra, Jalan Teuku Umar, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.390212,105.261775
Angkringan Mbah Warno,"Angkringan Mbah Warno, Jalan Darussalam, Surabaya, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.394036,105.262088
Mie Ayam Koga,"Mie Ayam Koga, Jalan Teuku Umar, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.393052,105.262175
Pempek 123,"Pempek 123, Jalan Teuku Umar, Penengahan, Bandar Lampung, Lampung, Sumatra, 35125, Indonesia",-5.39846,105.261129
Ramen Meledak,"Ramen Meledak, Jalan Badak, Penengahan, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.396195,105.261398
Bakmi Goreng Teroris,"Bakmi Goreng Teroris, Jalan Pelanduk, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.39346,105.261674
Mie Surabaya,"Mie Surabaya, Jalan Danau Tondano, Surabaya, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.393497,105.262091
Golden Dragon Resto,"Golden Dragon Resto, Jalan Yos Soedarso, Sukaraja, Bandar Lampung, Lampung, Sumatra, 35245, Indonesia",-5.445481,105.291454
Dimsum Sambel Mercon,"Dimsum Sambel Mercon, Jalan Profesor Mr. Haji Muhammad Yamin, Rawa Laut, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.420932,105.266895
De Flo Pudding,"De Flo Pudding, Jalan Wijaya Kesuma, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.422291,105.266783
Warung Ala Hotel,"Warung Ala Hotel, Jalan Aziz Cindar Bumi, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.421184,105.257491
Lobster Cup,"Lobster Cup, Jalan Hos Cokroaminoto, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.41886,105.261688
Bubur Sumsum,"Bubur Sumsum, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.421784,105.254365
Bakso Sultan,"Bakso Sultan, Jalan Robert Walter Monginsidi, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.423414,105.251799
Telur GulungHits,"Telur GulungHits, Jalan Ratu Dipuncak, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420625,105.247145
La Cuisine Bandar Lampung,"La Cuisine Bandar Lampung, Jalan Kemuning I, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.423327,105.266723
Hello Food,"Hello Food, Jalan Profesor Mr. Haji Muhammad Yamin, Pahoman, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.42351,105.266076
DeFlo Pudding,"DeFlo Pudding, Jalan Profesor Mr. Haji Muhammad Yamin, Rawa Laut, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.421781,105.266824
Bakso Soni,"Bakso Soni, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.412799,105.246974
Anyep Tah,"Anyep Tah, Jalan Siswondo Parman, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419619,105.254103
Wartalk.Id,"Wartalk.Id, Jalan Karel Satsuit Tubun, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.419591,105.261278
Pecel Lele Palapa,"Pecel Lele Palapa, Jalan Durian 2, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.421608,105.247622
Nasi Goreng Mamak,"Nasi Goreng Mamak, Jalan Beruang, Sukamenanti, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.394381,105.249109
Sendok Mas,"Sendok Mas, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35214, Indonesia",-5.421745,105.256006
Pizza Hut,"Pizza Hut, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419239,105.258058
D'KUALI,"D'KUALI, Jalan Karel Satsuit Tubun, Rawa Laut, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.420173,105.2634
Kobar Lampung,"Kobar Lampung, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35214, Indonesia",-5.42152,105.255333
Rizky 99,"Rizky 99, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.417725,105.258146
Pecel Lele Mbak Yul,"Pecel Lele Mbak Yul, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419679,105.258372
Eze Steak and Resto,"Eze Steak and Resto, Jalan Tulang Bawang, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.417439,105.258717
Bakso Jono,"Bakso Jono, Gang Anggrek III, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.397885,105.251074
Oemah Mie,"Oemah Mie, Jalan Tulang Bawang, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.417852,105.259249
Mie Lampung II,"Mie Lampung II, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420602,105.258479
Ayam Jerit Lampung,"Ayam Jerit Lampung, Jalan Siswondo Parman, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419739,105.258092
Bubur Ayam Cirebon,"Bubur Ayam Cirebon, Jalan Siswondo Parman, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419617,105.25345
Ayam Geprek Mbah Janah,"Ayam Geprek Mbah Janah, Jalan Sisingamangaraja, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.406386,105.241014
Rosemary Steak,"Rosemary Steak, Jalan Ade Irma Suryani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420749,105.253792
Gultik Persit,"Gultik Persit, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.42114,105.253789
Sate Madura Cak Ian,"Sate Madura Cak Ian, Gang Jaya Antara, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.411825,105.245567
Soto Darusallam,"Soto Darusallam, Jalan Sisingamangaraja, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.407575,105.242196
Waroenk Kita,"Waroenk Kita, Jalan Ade Irma Suryani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420577,105.253537
New Martabak POP,"New Martabak POP, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.416356,105.246754
Mbok Wito Palapa,"Mbok Wito Palapa, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.425121,105.246686
Soto Lamongan,"Soto Lamongan, Jalan Sisingamangaraja, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.412198,105.245623
Palapa Mie,"Palapa Mie, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419874,105.246546
Warung Nasi Gambreng,"Warung Nasi Gambreng, Gang Bukit, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.40869,105.244164
RM Budi Rahayu,"RM Budi Rahayu, Jalan Raden Saleh, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.424839,105.251335
Kang Eno Pecel Lele,"Kang Eno Pecel Lele, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.414837,105.246999
Bakso Son Haji 1,"Bakso Son Haji 1, Jalan Robert Walter Monginsidi, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.423361,105.25144
Warung Bakso,"Warung Bakso, Jalan Sam Ratulangi, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.399644,105.253613
Nasi Uduk Sore,"Nasi Uduk Sore, Jalan Sam Ratulangi, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.398614,105.251817
Mbok Jum Bumi Waras,"Mbok Jum Bumi Waras, Jalan Raden Saleh, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.424736,105.250782
Warung Mas Agus,"Warung Mas Agus, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.413945,105.246435
Pindang Riu,"Pindang Riu, Jalan Raden Saleh, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.425828,105.247173
Pempek Wong Kito,"Pempek Wong Kito, Jalan Sultan Badaruddin, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.4051,105.239202
Soto Lamongan Cak Noto,"Soto Lamongan Cak Noto, Gang Rama, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.396248,105.249466
Kepiting Nyeblak,"Kepiting Nyeblak, Jalan Pangeran Emir Muhammad Noer, Palapa, Tanjung Karang Barat, Lampung, Sumatra, 35119, Indonesia",-5.420061,105.247114
Bakso Marem,"Bakso Marem, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.413515,105.24696
Pempek Betty,"Pempek Betty, Jalan Ikan Sebelah, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451287,105.259043
Bakul Panganan,"Bakul Panganan, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.395062,105.249069
Bsreng Bandung,"Bsreng Bandung, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.396333,105.249335
Sate Obong Tomyan,"Sate Obong Tomyan, Jalan Kepodang, Kelapa Tiga, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.404726,105.238794
Geprek Paksu,"Geprek Paksu, Gang Ar-Rahmah, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.408255,105.243
Angkringan Sego,"Angkringan Sego, Jalan Sam Ratulangi, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.398099,105.25129
Bubur Ayam Pak Mulyadi,"Bubur Ayam Pak Mulyadi, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.394174,105.249019
Mie Tektek Mang Lien,"Mie Tektek Mang Lien, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.392433,105.249082
RM Bu Siti,"RM Bu Siti, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.426755,105.245726
Mie Ayam Es Dugan,"Mie Ayam Es Dugan, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.427363,105.245517
Swinger.Id,"Swinger.Id, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.392269,105.24958
Pempek Cik Da,"Pempek Cik Da, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.433345,105.249894
Dimas Catering,"Dimas Catering, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.44063,105.25516
Bakso Latief,"Bakso Latief, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.453203,105.257167
Nasi Goreng Jamur Iyus,"Nasi Goreng Jamur Iyus, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.426811,105.245496
Bubur Ayam Priyangan,"Bubur Ayam Priyangan, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451158,105.258283
Mie Ayam Baso Bandung,"Mie Ayam Baso Bandung, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451063,105.257113
Dapur Wong Kito Nian,"Dapur Wong Kito Nian, Gang Laksama, Palapa, Bandar Lampung, Lampung, Sumatra, 35221, Indonesia",-5.427445,105.24529
Kugikui Korean BBQ,"Kugikui Korean BBQ, Jalan Dokter Setia Budi, Gunung Mas, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.444927,105.255805
Nasi Padang Mak Buyung,"Nasi Padang Mak Buyung, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.435496,105.251792
Bakmi Ayam Manise,"Bakmi Ayam Manise, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.450849,105.258602
Warung Nasi Pojok Camar,"Warung Nasi Pojok Camar, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.431159,105.24722
Ayam Bakar Si Jun,"Ayam Bakar Si Jun, Gang Perkutut, Gulak Galik, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.433143,105.249218
RM Pondok Emak,"RM Pondok Emak, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.438282,105.252911
Mie Ayam DD,"Mie Ayam DD, Jalan Dokter Setiabudi, Gunung Mas, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.446911,105.255825
Eiji Bento,"Eiji Bento, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.436415,105.252148
Ayam Gerpek Kenzie,"Ayam Gerpek Kenzie, Jalan Katu 2, Gunung Mas, Bandar Lampung, Lampung, Sumatra, 35223, Indonesia",-5.451914,105.256102
RM Purnama,"RM Purnama, Jalan Mr. Moch Roem, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.43771,105.252855
Bubur Selera Nisantara,"Bubur Selera Nisantara, Jalan WR Supratman, Gunung Mas, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.444974,105.256205
RM Tuah Sakato,"RM Tuah Sakato, Jalan Ikan Tenggiri, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451138,105.261546
Dapur Septi,"Dapur Septi, Jalan Teluk Bone, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.453607,105.258689
Bakso Son Haji V,"Bakso Son Haji V, Jalan Katu 2, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 35223, Indonesia",-5.454442,105.256483
Ayam Geprek Abi,"Ayam Geprek Abi, Jalan Dokter Setia Budi, Gunung Mas, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.446345,105.255659
Mie Ayam Bakso Pasar Ambon,"Mie Ayam Bakso Pasar Ambon, Jalan Ikan Sebelah, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.450999,105.258928
Mie Ayam Mas Pur,"Mie Ayam Mas Pur, Jalan Ikan Tongkol, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.447685,105.262414
Warteg Bahari,"Warteg Bahari, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451457,105.261769
Mie Ayam Surya,"Mie Ayam Surya, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451025,105.260562
Warung Sopo Sapi,"Warung Sopo Sapi, Jalan Teluk Bone, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.453586,105.258267
WR Ibu Mudin,"WR Ibu Mudin, Jalan Ikan Bawal, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.446253,105.26322
